body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.085414,0.075122,0.647354
0.074202,0.032538,0.455286
0.052040,-0.052447,0.071095
0.055135,-0.034324,0.124638
0.056662,-0.025276,0.151415
0.095440,-0.045238,0.208016
0.083697,-0.053126,0.289658
0.060171,-0.069108,0.452919
0.087391,-0.113127,0.506445
0.101082,-0.135091,0.533207
0.045758,-0.065295,0.572195
0.028470,-0.066710,0.665145
-0.006210,-0.069828,0.851045
0.012694,-0.060315,0.945884
0.022072,-0.055477,0.993330
0.014793,-0.077585,1.246795
0.033891,-0.073814,1.235985
0.072010,-0.065799,1.214497
0.056303,-0.075574,1.363009
0.048465,-0.080614,1.437316
0.039080,-0.116983,1.523621
0.024704,-0.093827,1.578250
-0.004877,-0.048013,1.687734
0.051105,-0.040198,1.631855
0.079042,-0.035823,1.604057
0.055604,-0.096677,1.520663
0.047380,-0.088896,1.516620
0.030710,-0.073592,1.508721
0.071319,-0.185775,1.398393
0.092511,-0.241546,1.343314
0.051543,-0.167228,1.184237
0.048199,-0.174741,1.087312
0.042014,-0.189753,0.893501
0.041133,-0.217154,0.843391
0.040864,-0.230852,0.818349
0.050814,-0.171411,0.672509
0.032087,-0.171619,0.638694
-0.005247,-0.172255,0.571013
0.012620,-0.210911,0.465521
0.021755,-0.230192,0.412795
-0.068949,-0.132966,0.274636
-0.085320,-0.132973,0.266433
-0.118041,-0.133089,0.249985
-0.075814,-0.119072,0.100938
-0.054619,-0.112098,0.026435
-0.016836,-0.065900,-0.148752
-0.048932,-0.063787,-0.218161
-0.113027,-0.059488,-0.357022
-0.022493,-0.116832,-0.305762
0.022656,-0.145637,-0.280074
-0.040511,-0.039932,-0.213580
-0.044816,-0.017804,-0.211247
-0.053333,0.026473,-0.206604
-0.063054,-0.017901,-0.159356
-0.067954,-0.040066,-0.135719
-0.113115,-0.072338,-0.063643
-0.100709,-0.074357,-0.049152
-0.075921,-0.078379,-0.020149
-0.064984,-0.014552,-0.098571
-0.059478,0.017330,-0.137802
-0.111923,-0.050416,-0.033280
-0.107319,-0.042299,-0.014804
-0.098126,-0.026027,0.022133
-0.050710,-0.038249,0.037199
-0.027002,-0.044347,0.044743
-0.006811,0.005113,0.049093
-0.003932,0.022996,0.013846
0.001806,0.058762,-0.056651
0.014735,0.028513,-0.039294
0.021196,0.013385,-0.030619
0.022808,0.009632,-0.045960
0.023763,0.005154,-0.051634
0.025669,-0.003800,-0.062984
0.010791,0.028397,-0.062062
0.003362,0.044501,-0.061597
0.070180,0.016441,-0.056352
0.074451,0.019568,-0.035534
0.083004,0.025787,0.006104
0.056506,0.040791,0.020577
0.043259,0.048287,0.027823
0.120885,0.028254,0.064740
0.094164,0.051511,0.085946
0.040706,0.097939,0.128429
-0.021415,0.101479,-0.039734
-0.052561,0.103244,-0.123784
-0.010385,0.070645,-0.024373
-0.032842,0.092383,-0.007801
-0.077722,0.135874,0.025371
-0.027056,0.059564,0.036311
-0.001705,0.021420,0.041776
-0.105417,0.007206,0.059368
-0.116179,0.048650,0.030558
-0.137756,0.131465,-0.027147
-0.130576,0.120983,-0.067535
-0.127014,0.115713,-0.087726
-0.065044,0.010259,-0.036644
-0.061911,0.033121,-0.115894
-0.055643,0.078741,-0.274424
0.027069,0.079777,-0.389475
0.068381,0.080151,-0.447035
0.094863,0.023934,-0.444800
0.107641,0.035620,-0.473362
0.133291,0.058935,-0.530477
0.161335,0.027527,-0.594816
0.175256,0.011792,-0.627020
0.116302,0.050183,-0.561029
0.108217,0.044895,-0.580707
0.091973,0.034456,-0.620079
0.064369,0.046381,-0.569744
0.050614,0.052406,-0.544572
0.044546,0.009910,-0.573408
0.022519,0.027715,-0.570588
-0.021331,0.063575,-0.564938
-0.040552,0.081185,-0.592987
-0.050122,0.090042,-0.607014
-0.038781,0.073228,-0.614939
-0.053802,0.077249,-0.616755
-0.083797,0.085477,-0.620381
-0.080225,0.028215,-0.546705
-0.078586,-0.000395,-0.509850
-0.062587,-0.033637,-0.579225
-0.050373,-0.025941,-0.612479
-0.025834,-0.010732,-0.679004
-0.043529,-0.060883,-0.585846
-0.052552,-0.085887,-0.539268
-0.052577,-0.004763,-0.553870
-0.019371,0.026526,-0.695184
0.047402,0.088588,-0.977875
0.029247,0.068216,-0.910212
0.020102,0.058104,-0.876401
-0.011714,-0.014959,-0.542392
-0.002755,-0.058554,-0.614355
0.014711,-0.145859,-0.758284
0.008387,-0.131941,-0.583057
0.005150,-0.124973,-0.495455
0.011362,-0.147698,-0.562976
0.017682,-0.176577,-0.564864
0.030001,-0.234410,-0.568640
0.059143,-0.182623,-0.562135
0.073853,-0.156816,-0.558846
0.061819,-0.173812,-0.550078
0.059624,-0.156497,-0.533100
0.055365,-0.121867,-0.499138
0.091506,-0.107010,-0.499239
0.109614,-0.099673,-0.499266
0.099260,-0.099007,-0.346609
0.093144,-0.118638,-0.424885
0.080934,-0.157704,-0.581497
0.031205,-0.141188,-0.506954
0.006331,-0.132818,-0.469720
0.024704,-0.073822,-0.522801
0.030314,-0.072791,-0.518095
0.041539,-0.070793,-0.508681
-0.002476,-0.029106,-0.378541
-0.024423,-0.008179,-0.313480
0.003059,0.015932,-0.398012
-0.000009,0.018257,-0.390781
-0.006124,0.022932,-0.376319
0.033915,0.030120,-0.492460
0.053935,0.033636,-0.550537
0.084530,0.126971,-0.368731
0.078786,0.127773,-0.311840
0.067449,0.129321,-0.198045
0.105840,0.161723,-0.238341
0.125042,0.177899,-0.258503
0.085738,0.125034,-0.034078
0.092900,0.132425,-0.078251
0.107120,0.147277,-0.166600
0.094432,0.138235,-0.186801
0.088065,0.133735,-0.196897
0.030490,0.182266,-0.232190
0.042228,0.192958,-0.235351
0.065742,0.214289,-0.241712
0.060254,0.152088,-0.158823
0.057524,0.120967,-0.117393
0.104407,0.058261,-0.123244
0.103379,0.050110,-0.103877
0.101328,0.033769,-0.065157
0.114078,0.023699,-0.075344
0.120448,0.018666,-0.080445
0.145278,-0.020441,-0.087473
0.149368,-0.014953,-0.115616
0.157570,-0.003904,-0.171885
0.140779,0.017251,-0.229438
0.132402,0.027888,-0.258198
0.105041,0.077034,-0.528513
0.097457,0.075665,-0.505581
0.082311,0.072959,-0.459713
-0.008837,0.019693,-0.501218
-0.054548,-0.006713,-0.521963
-0.057782,0.012904,-0.664673
-0.099333,-0.008000,-0.598152
-0.182697,-0.049179,-0.465084
-0.203946,-0.071554,-0.446517
-0.214628,-0.082675,-0.437222
-0.300996,-0.014103,-0.333847
-0.284584,-0.011356,-0.314290
-0.251750,-0.005852,-0.275190
-0.234981,0.037072,-0.345373
-0.226536,0.058422,-0.380519
-0.164010,0.025857,-0.298998
-0.141981,0.026110,-0.292531
-0.097920,0.026505,-0.279611
-0.090011,0.017984,-0.275861
-0.086068,0.013715,-0.273984
-0.040209,0.059500,-0.316171
-0.045879,0.055745,-0.277825
-0.057197,0.048303,-0.201126
-0.049213,0.042435,-0.220022
-0.045231,0.039488,-0.229471
-0.085151,0.046202,-0.205593
-0.079236,0.034705,-0.191580
-0.067442,0.011711,-0.163540
-0.046331,0.038617,-0.207450
-0.035757,0.052038,-0.229416
-0.063232,0.005150,-0.156261
-0.070906,0.015463,-0.152642
-0.086222,0.036118,-0.145418
-0.106165,0.040468,-0.000118
-0.116107,0.042720,0.072534
-0.000506,0.030917,0.177198
-0.005088,0.051858,0.292032
-0.014256,0.093725,0.521707
0.021040,0.058278,0.907925
0.038961,0.040676,1.101030
0.033720,0.040819,1.888364
0.090744,0.026852,2.247610
0.205648,0.000842,2.967051
0.234116,0.082279,3.921481
0.247228,0.122432,4.399927
0.416027,0.168575,5.372913
0.408503,0.298876,5.328859
0.379942,0.559289,5.250205
0.284028,0.571250,4.907339
0.235083,0.575749,4.739901
0.176569,0.644749,3.702581
0.068209,0.600116,3.316753
-0.150068,0.504431,2.547800
-0.154458,0.311584,2.195881
-0.155105,0.214923,2.020460
-0.317688,0.140285,0.963369
-0.259498,0.083581,0.559640
-0.143151,-0.031271,-0.247623
0.127891,-0.608865,-1.683429
0.262909,-0.899028,-2.400894
-0.005865,-0.630190,-2.539009
0.056638,-0.569727,-3.137876
0.192313,-0.452619,-4.337820
-0.102604,-0.456808,-3.934651
-0.250933,-0.453098,-3.735735
-0.228383,-0.428532,-4.091681
-0.257135,-0.298012,-3.864738
-0.306036,-0.033902,-3.414387
-0.181994,0.037657,-3.261166
-0.118881,0.071537,-3.185681
-0.036791,0.132855,-3.319966
-0.044770,0.131153,-3.241267
-0.060650,0.128408,-3.085612
0.007737,0.183077,-2.732762
0.042982,0.209487,-2.557087
-0.006931,0.066154,-2.454939
-0.007775,0.066596,-2.327179
-0.009272,0.067556,-2.072252
0.046552,0.051202,-1.780435
0.074390,0.042467,-1.634744
0.147321,0.009552,-1.381461
0.146163,-0.000463,-1.326339
0.143592,-0.020623,-1.216241
0.217772,-0.045591,-1.132581
0.254705,-0.058587,-1.090807
0.119525,0.008510,-0.737256
0.104724,0.002038,-0.694126
0.075036,-0.010791,-0.607894
0.050467,-0.018965,-0.497374
0.038152,-0.023019,-0.442123
0.053840,-0.134915,-0.240125
0.045652,-0.108605,-0.191994
0.029273,-0.055998,-0.095727
0.035086,-0.086996,-0.021008
0.037957,-0.102509,0.016348
0.032451,-0.072502,0.203703
0.019348,-0.073339,0.236149
-0.006904,-0.075090,0.301024
-0.001442,-0.084647,0.427571
0.001255,-0.089414,0.490849
-0.003297,-0.050871,0.546480
-0.007056,-0.057511,0.576805
-0.014531,-0.070832,0.637462
-0.030388,-0.100678,0.702184
-0.038245,-0.115648,0.734550
-0.068557,-0.111970,0.787586
-0.070131,-0.126684,0.773633
-0.073018,-0.156157,0.745771
-0.052082,-0.121978,0.735775
-0.041735,-0.104816,0.730793
-0.033701,-0.185409,0.869660
-0.031081,-0.163010,0.820509
-0.026050,-0.118205,0.722228
-0.016614,-0.098731,0.780459
-0.012001,-0.088955,0.809589
0.046751,-0.088988,0.705400
0.041662,-0.084924,0.725100
0.031395,-0.076889,0.764519
0.021239,-0.043034,0.803950
0.016018,-0.026153,0.823680
0.029475,0.001782,0.797179
0.030309,0.010802,0.794553
0.031833,0.028856,0.789333
-0.001363,0.049794,0.801155
-0.018041,0.060131,0.807088
-0.045875,-0.011259,0.644941
-0.042312,-0.014324,0.615130
-0.035142,-0.020436,0.555523
-0.013437,-0.030511,0.485500
-0.002549,-0.035502,0.450497
-0.007314,0.011013,0.472508
-0.003059,0.010647,0.418494
0.005442,0.009948,0.310467
0.010114,0.035263,0.252120
0.012408,0.047930,0.222947
0.020545,0.054518,0.105761
-0.003856,0.066893,0.095070
-0.052698,0.091598,0.073720
-0.049958,0.062933,-0.005459
-0.048613,0.048581,-0.045043
-0.030302,0.061328,-0.117068
-0.051190,0.048547,-0.136485
-0.093019,0.023021,-0.175287
-0.076004,0.118883,-0.266825
-0.067423,0.166757,-0.312641
-0.078589,0.100082,-0.598842
-0.081240,0.094222,-0.531687
-0.086479,0.082641,-0.397370
-0.084184,0.031448,-0.272944
-0.083086,0.005901,-0.210711
0.004676,0.066407,-0.405208
-0.012011,0.058634,-0.364959
-0.045393,0.043220,-0.284442
-0.009129,0.034887,-0.184360
0.009013,0.030692,-0.134325
0.020857,0.028065,-0.143419
0.020050,0.037168,-0.144796
0.018461,0.055377,-0.147546
0.020184,0.008713,-0.135872
0.021015,-0.014622,-0.130040
0.021922,-0.014893,-0.216924
0.025258,-0.000987,-0.209205
0.031987,0.026807,-0.193762
0.013750,0.080474,-0.165426
0.004688,0.107320,-0.151247
0.025817,0.069253,-0.138974
0.023052,0.054943,-0.146189
0.017473,0.026334,-0.160624
0.010683,0.027100,-0.119633
0.007294,0.027484,-0.099137
0.013889,-0.013700,-0.028216
0.016082,-0.008293,-0.019920
0.020468,0.002518,-0.003326
0.010556,0.015837,0.030492
0.005601,0.022494,0.047402
0.018074,0.000975,0.098361
0.015930,0.002613,0.071769
0.011638,0.005896,0.018584
0.020367,0.006358,-0.012057
0.024730,0.006591,-0.027378
0.025313,-0.015963,-0.079363
0.019493,-0.003584,-0.023136
0.007856,0.021156,0.089321
0.004971,0.033257,0.085381
0.003522,0.039306,0.083411
0.002490,0.039413,0.089497
0.004484,0.040911,0.040545
0.008431,0.043914,-0.057360
0.006518,0.046129,0.041331
0.005584,0.047234,0.090677
-0.005719,0.032390,0.033026
-0.006664,0.043548,0.045805
-0.008553,0.065866,0.071362
-0.003019,0.058701,0.078008
-0.000248,0.055120,0.081329
0.001600,0.043032,0.053231
-0.000205,0.049778,0.056481
-0.003819,0.063269,0.062982
-0.006389,0.068476,0.037367
-0.007683,0.071078,0.024560
-0.012994,0.066309,0.036796
-0.010953,0.062953,0.038764
-0.006866,0.056244,0.042698
-0.004806,0.060271,0.027839
-0.003780,0.062285,0.020409
-0.002731,0.058244,-0.021173
0.001393,0.061106,-0.013292
0.009649,0.066828,0.002464
0.004027,0.066472,0.019730
0.001222,0.066292,0.028365
0.005717,0.046980,0.019071
0.003591,0.042496,0.031612
-0.000647,0.033526,0.056695
-0.001775,0.034943,0.029287
-0.002344,0.035652,0.015583
0.005291,0.028424,0.070441
0.002203,0.031745,0.078859
-0.003972,0.038383,0.095699
0.001988,0.038455,0.051490
0.004959,0.038493,0.029384
0.003264,0.037024,0.025331
0.004325,0.034809,0.016004
0.006441,0.030381,-0.002650
0.006252,0.023307,0.022324
0.006161,0.019769,0.034811
0.006226,0.008303,0.022283
0.002590,0.006811,0.020017
-0.004681,0.003827,0.015486
-0.001713,0.027066,0.039198
-0.000231,0.038686,0.051053
-0.002400,0.036719,0.066053
-0.000451,0.038104,0.067190
0.003446,0.040877,0.069461
0.006075,0.050500,0.005843
0.007372,0.055314,-0.025966
0.002039,0.056297,0.027757
0.002386,0.062852,0.078498
0.003133,0.075960,0.179980
-0.001125,0.082692,0.100077
-0.003290,0.086055,0.060127
0.013484,0.082432,0.040734
0.010826,0.079817,0.027734
0.005490,0.074587,0.001737
0.003830,0.079798,0.048611
0.003017,0.082402,0.072048
0.008046,0.060854,0.115990
0.006498,0.057116,0.127150
0.003424,0.049636,0.149473
0.004645,0.037367,0.114919
0.005256,0.031234,0.097642
0.012559,0.035479,0.062374
0.007558,0.029707,0.096148
-0.002412,0.018150,0.163696
-0.000032,0.022541,0.105362
0.001148,0.024738,0.076195
0.009975,0.011582,0.032371
0.012024,0.012716,0.059719
0.016130,0.014979,0.114416
0.016262,-0.007779,0.057987
0.016338,-0.019153,0.029772
0.026952,-0.045915,0.251235
0.036434,-0.072338,0.207757
0.055569,-0.125112,0.120797
0.052538,-0.158172,0.097459
0.051057,-0.174697,0.085779
0.088530,-0.238130,0.090192
0.069816,-0.200894,0.042455
0.032550,-0.126373,-0.053041
0.000427,-0.098435,-0.078156
-0.015612,-0.084453,-0.090729
-0.021378,-0.019175,-0.250655
-0.030767,0.002330,-0.347196
-0.049402,0.045346,-0.540297
-0.043842,0.061476,-0.729891
-0.041062,0.069480,-0.824700
-0.067274,0.164484,-0.592596
-0.070429,0.161170,-0.567612
-0.076696,0.154614,-0.517638
-0.076002,0.142833,-0.647293
-0.075786,0.136893,-0.712122
-0.103749,0.147096,-0.352922
-0.106645,0.122197,-0.367405
-0.112656,0.072392,-0.396314
-0.132580,0.058412,-0.287023
-0.142531,0.051524,-0.232364
-0.194550,0.118926,-0.140457
-0.172373,0.093442,-0.137462
-0.128084,0.042422,-0.131425
-0.124575,0.075977,-0.141740
-0.122801,0.092746,-0.146921
-0.068776,0.091674,-0.085827
-0.060154,0.084509,-0.082177
-0.042916,0.070170,-0.074885
-0.021792,0.060503,-0.059777
-0.011228,0.055664,-0.052229
-0.018032,0.046923,-0.006462
-0.004158,0.053284,0.005792
0.023602,0.066009,0.030285
0.020790,0.056785,0.085605
0.019403,0.052166,0.113265
0.028835,0.107770,0.192300
0.029815,0.090868,0.170598
0.031795,0.057080,0.127183
0.035261,0.067571,0.213906
0.037012,0.072805,0.257268
0.138615,-0.063820,-0.250916
0.068427,0.026398,-0.057235
-0.071744,0.206651,0.330289
0.056588,0.122602,0.148927
0.120705,0.080725,0.058144
0.093150,0.129608,0.095589
0.091636,0.111959,0.255948
0.089059,0.076360,0.576641
0.081627,0.050176,0.575997
0.077988,0.037064,0.575671
0.137170,-0.008160,0.543406
0.133483,-0.050057,0.592976
0.126560,-0.134027,0.692017
0.140657,-0.138583,0.669595
0.147738,-0.140800,0.658400
0.172874,-0.198524,0.816744
0.175493,-0.136106,0.886874
0.179442,-0.011481,1.027412
0.153278,-0.039254,0.960111
0.140347,-0.053215,0.926462
0.070622,-0.116049,1.044988
0.060615,-0.036845,0.897863
0.039288,0.121556,0.603725
0.006042,-0.057712,0.388000
-0.010171,-0.147403,0.280126
0.014885,0.173320,-0.114641
0.013355,0.122745,-0.141020
0.010088,0.021605,-0.193789
-0.026273,0.081939,-0.172718
-0.044393,0.112141,-0.162175
-0.053289,0.023134,0.131566
-0.081901,0.055180,0.118939
-0.139215,0.119184,0.093664
-0.089894,0.097440,0.013603
-0.065270,0.086535,-0.026442
-0.064800,0.043878,-0.042330
-0.048692,0.030600,-0.080013
-0.016519,0.003983,-0.155377
-0.024351,-0.003064,-0.047042
-0.028270,-0.006572,0.007126
-0.026909,-0.033647,-0.083275
-0.021502,-0.022045,-0.105258
-0.010653,0.001137,-0.149226
-0.011152,-0.012328,-0.187412
-0.011412,-0.019062,-0.206504
0.000000,0.000000,0.000000
-0.010063,0.054274,0.273471
